id,team_id,time_type_id,time,player_id,heat_id
644,10,1,13:58:04.245638,36,12
645,8,1,13:58:24.963389,28,12
646,8,2,13:58:27.743908,28,12
647,10,1,13:58:30.848357,36,12
648,10,1,13:58:30.848357,37,12
649,8,2,13:58:37.52869,28,12
650,8,3,13:58:40.717222,28,12
651,8,3,13:58:49.534434,28,12
652,8,1,13:58:52.945009,28,12
653,10,1,13:59:03.272785,37,12
654,10,2,13:59:07.905146,37,12
655,10,2,13:59:25.063927,37,12
656,10,3,13:59:27.923253,37,12
657,10,3,13:59:43.87078,37,12
658,10,1,13:59:49.365678,37,12
659,10,1,14:00:19.081701,37,12
660,10,1,14:00:19.081701,37,12
661,16,1,14:45:00.16878,56,13
662,5,1,14:45:00.16878,18,13
663,5,1,14:45:22.955301,18,13
664,5,2,14:45:26.442546,18,13
665,16,1,14:45:26.993471,56,13
666,16,2,14:45:32.714998,56,13
667,5,2,14:45:32.934582,18,13
668,5,3,14:45:34.915865,18,13
669,5,3,14:45:42.33697,18,13
670,5,1,14:45:45.573826,18,13
671,16,2,14:46:06.199204,56,13
672,16,3,14:46:08.62455,56,13
673,5,1,14:46:14.059914,18,13
674,5,1,14:46:14.059914,16,13
675,16,3,14:46:19.058922,56,13
676,16,1,14:46:24.104692,56,13
677,16,1,14:46:51.5008,56,13
678,16,1,14:46:51.5008,57,13
679,5,1,14:46:56.130277,16,13
680,5,2,14:47:03.734205,16,13
681,5,2,14:47:15.381453,16,13
682,5,3,14:47:19.166501,16,13
683,5,3,14:47:27.713711,16,13
684,5,1,14:47:30.743346,16,13
685,16,1,14:47:36.177967,57,13
686,16,2,14:47:44.021786,57,13
687,16,2,14:47:58.637245,57,13
688,5,1,14:48:01.177466,16,13
689,5,1,14:48:01.177466,17,13
690,16,3,14:48:01.357201,57,13
691,16,3,14:48:14.417803,57,13
692,16,1,14:48:24.948581,57,13
693,5,1,14:48:33.001543,17,13
694,5,2,14:48:37.839072,17,13
695,5,2,14:48:49.041084,17,13
696,5,3,14:48:50.51948,17,13
697,16,1,14:48:51.648988,57,13
698,16,1,14:48:51.648988,61,13
699,5,3,14:49:00.298808,17,13
700,5,1,14:49:04.542753,17,13
701,16,1,14:49:24.961984,61,13
702,16,2,14:49:31.093921,61,13
703,5,1,14:49:31.654186,17,13
704,5,1,14:49:31.654186,15,13
705,5,1,14:50:05.144898,15,13
706,16,2,14:50:07.118455,61,13
707,5,2,14:50:07.786696,15,13
708,16,3,14:50:11.111302,61,13
709,16,3,14:50:18.852257,61,13
710,5,2,14:50:21.27009,15,13
711,16,1,14:50:24.013693,61,13
712,5,3,14:50:24.732551,15,13
713,5,3,14:50:35.160432,15,13
714,5,1,14:50:42.221669,15,13
715,16,1,14:50:44.014401,61,13
716,16,1,14:50:44.014401,60,13
717,5,1,14:51:16.244306,15,13
718,5,1,14:51:16.244306,15,13
719,16,1,14:51:26.725739,60,13
720,16,2,14:51:34.918568,60,13
721,16,2,14:51:51.547859,60,13
724,16,1,14:52:02.507298,60,13
725,16,1,14:52:25.773091,60,13
726,16,1,14:52:25.773091,60,13
727,3,1,14:57:19.718137,10,14
728,2,1,14:57:19.718137,6,14
729,2,1,14:57:41.70949,6,14
730,2,2,14:57:44.729002,6,14
731,3,1,14:57:49.575383,10,14
732,2,2,14:57:53.725736,6,14
733,3,2,14:57:54.401505,10,14
734,2,3,14:57:56.447845,6,14
735,3,2,14:58:00.873941,10,14
736,2,3,14:58:03.827727,6,14
737,3,3,14:58:04.349004,10,14
738,2,1,14:58:06.78368,6,14
739,3,3,14:58:15.349319,10,14
740,3,1,14:58:24.338781,10,14
741,2,1,14:58:32.036215,6,14
742,2,1,14:58:32.036215,5,14
743,3,1,14:58:45.717576,10,14
744,3,1,14:58:45.717576,9,14
745,2,1,14:59:03.794498,5,14
746,2,2,14:59:09.898948,5,14
747,3,1,14:59:11.084022,9,14
748,3,2,14:59:15.564689,9,14
749,2,2,14:59:18.575822,5,14
750,2,3,14:59:21.536926,5,14
751,3,2,14:59:26.685222,9,14
752,3,3,14:59:28.527736,9,14
753,2,3,14:59:29.417174,5,14
754,2,2,14:59:33.791709,5,14
755,3,3,14:59:38.672769,9,14
756,3,1,14:59:44.019665,9,14
757,2,1,14:59:57.541704,5,14
758,2,1,14:59:57.541704,6,14
759,3,1,15:00:01.003318,9,14
760,3,1,15:00:01.003318,8,14
761,3,1,15:00:28.022094,8,14
762,3,2,15:00:31.162541,8,14
763,2,1,15:00:32.649196,6,14
764,2,2,15:00:36.487068,6,14
765,3,2,15:00:40.759082,8,14
766,3,3,15:00:42.659842,8,14
767,2,2,15:00:45.945817,6,14
768,2,3,15:00:48.284624,6,14
769,3,3,15:00:51.101668,8,14
770,2,3,15:00:55.782065,6,14
771,3,1,15:00:57.558328,8,14
772,2,1,15:00:57.690519,6,14
773,3,1,15:01:17.807895,8,14
774,3,1,15:01:17.807895,7,14
775,2,1,15:01:23.574594,6,14
776,2,1,15:01:23.574594,5,14
777,3,1,15:01:45.778971,7,14
778,3,2,15:01:50.495624,7,14
779,2,1,15:01:51.25742,5,14
780,2,2,15:01:56.228848,5,14
781,3,2,15:02:02.634414,7,14
782,3,3,15:02:04.940813,7,14
783,2,2,15:02:07.679293,5,14
784,2,3,15:02:09.548161,5,14
785,3,3,15:02:14.116815,7,14
786,2,3,15:02:17.854973,5,14
787,2,1,15:02:20.180251,5,14
788,3,1,15:02:21.966194,7,14
789,3,1,15:02:40.575151,7,14
790,3,1,15:02:40.575151,7,14
793,13,1,15:10:07.772068,47,15
794,8,1,15:10:07.772068,30,15
795,13,1,15:10:28.460421,47,15
796,8,1,15:10:30.620786,30,15
797,13,2,15:10:35.454623,47,15
798,8,2,15:10:35.475432,30,15
799,13,2,15:10:47.238413,47,15
800,13,3,15:10:49.134269,47,15
801,8,2,15:10:52.051175,30,15
802,13,3,15:10:58.133045,47,15
803,13,1,15:11:00.619317,47,15
804,8,3,15:11:04.057325,30,15
805,8,1,15:11:07.733339,30,15
806,13,1,15:11:25.373436,47,15
807,13,1,15:11:25.373436,48,15
808,8,1,15:11:37.477929,30,15
809,8,1,15:11:37.477929,29,15
810,13,1,15:11:51.516423,48,15
811,13,2,15:11:57.411674,48,15
812,8,1,15:11:59.688207,29,15
813,8,2,15:12:03.347931,29,15
814,13,2,15:12:14.11144,48,15
815,13,3,15:12:16.867142,48,15
816,8,2,15:12:19.544271,29,15
817,8,3,15:12:20.667798,29,15
818,13,3,15:12:26.058506,48,15
819,13,1,15:12:28.103531,48,15
820,8,3,15:12:31.443826,29,15
821,8,1,15:12:34.524754,29,15
822,13,1,15:12:48.832893,48,15
823,13,1,15:12:48.832893,50,15
824,8,1,15:13:09.917308,29,15
825,8,1,15:13:09.917308,27,15
826,13,1,15:13:26.385561,50,15
827,13,2,15:13:34.316741,50,15
828,8,1,15:13:36.029226,27,15
